기업명,시작,종료
"무지개바이오비료 
영농조합법인",2022-12-02,2025-12-01
동성아스콘,2022-12-02,2025-12-01
대흥환경산업,2022-12-02,2025-12-01
포항아스콘,2023-02-06,2026-02-05
태창산업,2023-02-06,2026-02-05
알앤텍,2023-03-03,2026-03-02
알앤이 1공장,2023-03-03,2026-03-02
현창기업 의왕공장,2023-04-03,2026-04-02
인테크,2023-04-03,2026-04-02
농업회사법인 새솔바이오,2023-04-03,2026-04-02
바나,2023-04-12,2026-04-11
대덕산업,2023-05-31,2026-05-30
대주아스콘,2023-05-31,2026-05-30
현해케미칼,2023-05-31,2026-05-30
이에스알산업,2023-05-31,2026-05-30
이에스알산업,2023-05-31,2026-05-30
휴인텍,2023-06-23,2026-06-22
현대엘앤씨 엘텍세종사업장,2023-06-23,2026-06-22
"디에스아스콘
(구. 서부아스콘 부안공장",2023-06-23,2026-06-22
서부아스콘 익산공장,2023-06-23,2026-06-22
OK아스콘,2023-06-23,2026-06-22
한국철강,2023-06-23,2026-06-22
우성산업개발,2023-07-28,2026-07-27
인성에이엔티 인천공장,2023-07-28,2026-07-27
한솔홈데코 익산공장,2023-07-28,2026-07-27
전주페이퍼,2011-09-26,2026-08-02
경서아스콘,2023-08-21,2026-08-20
한국특강,2023-08-21,2026-08-20
현대제철 포항1공장,2023-08-21,2026-08-20
에코로,2023-09-22,2026-09-21
환영철강공업,2023-09-22,2026-09-21
의성그린에너지,2023-10-23,2026-10-22
디케이유업,2023-10-23,2026-10-22
창명산업,2023-11-06,2026-11-05
성보아스콘,2023-11-06,2026-11-05
일우피피씨 충북지점,2023-11-06,2026-11-05
미래개발 ,2023-11-06,2026-11-05
윤성알엠씨 고령지점,2023-11-06,2026-11-05
코단에코크리트 원주지점,2023-11-06,2026-11-05
한국아스콘,2023-12-15,2026-12-14
삼성환경건설,2023-12-15,2026-12-14
벽산 홍성 제2공장,2023-12-15,2026-12-14
백진환경(합,2023-12-15,2026-12-14
이에스알산업,2024-02-02,2027-02-01
현대환경,2024-02-02,2027-02-01
금산씨알에이,2024-02-02,2027-02-01
인성에이앤티,2024-02-02,2027-02-01
동일산업,2024-02-02,2027-02-01
대왕,2024-02-02,2027-02-01
공영사,2024-02-02,2027-02-01
창주산업,2024-03-08,2027-03-07
세아산업 약목,2024-03-08,2027-03-07
중산현대,2024-03-08,2027-03-07
유모아아스콘,2024-03-08,2027-03-07
태인,2024-03-08,2027-03-07
성경,2024-03-08,2027-03-07
호경 ,2024-03-08,2027-03-07
