기업명,인증연도,리콜종류,label
킹카스포츠,2015.0,자발적리콜,
도현실업,2023.0,명령에따른리콜,
크리스탈하우스,2023.0,명령에따른리콜,
크리스탈하우스,2021.0,명령에따른리콜,
날씨요정,2023.0,명령에따른리콜,
제이에스글로벌,2023.0,명령에따른리콜,
로라랜드,2023.0,명령에따른리콜,
숀아이비엔엘,2023.0,명령에따른리콜,
한일공업,2023.0,명령에따른리콜,
한일공업,2022.0,명령에따른리콜,
한일공업,2019.0,명령에따른리콜,
한진종합전기,2023.0,명령에따른리콜,
한진종합전기,2017.0,명령에따른리콜,
INNOTECH(이노텍),2023.0,명령에따른리콜,
힉스코리아,2023.0,명령에따른리콜,
트렉바이시클코리아(유),2023.0,자발적리콜,
트렉바이시클코리아(유),2022.0,자발적리콜,
트렉바이시클코리아(유),2019.0,자발적리콜,
트렉바이시클코리아(유),2018.0,자발적리콜,
트렉바이시클코리아(유),2017.0,자발적리콜,
김&장법률사무소,2023.0,자발적리콜,
김&장법률사무소,2018.0,자발적리콜,
김&장법률사무소,2017.0,자발적리콜,
김&장법률사무소,2017.0,자발적리콜,
코리아보드게임즈,2023.0,자발적리콜,
코리아보드게임즈,2022.0,자발적리콜,
코리아보드게임즈,2021.0,자발적리콜,
코리아보드게임즈,2021.0,자발적리콜,
자라리테일코리아,2023.0,자발적리콜,
자라리테일코리아,2018.0,명령에따른리콜,
자라리테일코리아,2017.0,명령에따른리콜,
자라리테일코리아,2017.0,명령에따른리콜,
ShimanoEuropeB.V.(J.C.M.vanRooij),2023.0,자발적리콜,
쿠쿠전자,2023.0,자발적리콜,
쿠쿠전자,2021.0,자발적리콜,
퍼네스아웃도어,2023.0,명령에따른리콜,
아이지코리아,2023.0,명령에따른리콜,
천봉상사,2023.0,명령에따른리콜,
아크,2023.0,명령에따른리콜,
랜드웨이스포츠,2023.0,명령에따른리콜,
랜드웨이스포츠,2022.0,명령에따른리콜,
랜드웨이스포츠,2018.0,명령에따른리콜,
랜드웨이스포츠,2016.0,명령에따른리콜,
랜드웨이스포츠,2015.0,명령에따른리콜,
랜드웨이스포츠,2015.0,명령에따른리콜,
랜드웨이스포츠,2015.0,자발적리콜,
스튜디오삼익,2023.0,명령에따른리콜,
스튜디오삼익,2021.0,명령에따른리콜,
태윤인터내셔날,2023.0,명령에따른리콜,
위즈바움,2023.0,명령에따른리콜,
심우,2023.0,명령에따른리콜,
이호토디자인,2023.0,명령에따른리콜,
티에스티트레이딩,2023.0,명령에따른리콜,
티에스티트레이딩,2017.0,명령에따른리콜,
티에스티트레이딩,2015.0,명령에따른리콜,
이끌림,2023.0,명령에따른리콜,
저장일정문화용품,2023.0,명령에따른리콜,
에이치아이무역,2023.0,명령에따른리콜,
크리브,2023.0,명령에따른리콜,
크리브,2022.0,명령에따른리콜,
크리브,2022.0,명령에따른리콜,
휴즈랩,2023.0,명령에따른리콜,
수비월드,2023.0,명령에따른리콜,
유신모자,2023.0,명령에따른리콜,
유신모자,2017.0,명령에따른리콜,
블루페블즈,2023.0,명령에따른리콜,
이마트,2023.0,명령에따른리콜,-1.0
이마트,2020.0,자발적리콜,-1.0
이마트,2018.0,명령에따른리콜,-1.0
이마트,2017.0,명령에따른리콜,-1.0
이마트,2017.0,자발적리콜,-1.0
서울전기,2023.0,명령에따른리콜,
트라이애드,2023.0,명령에따른리콜,
로이체,2023.0,명령에따른리콜,
제이티씨글로벌,2023.0,명령에따른리콜,
인테코에이티,2023.0,명령에따른리콜,
씨티라이프,2023.0,자발적리콜,
스마트,2023.0,자발적리콜,
린나이코리아,2023.0,자발적리콜,
스캇노스아시아,2023.0,자발적리콜,
자라홈코리아유한회사,2023.0,자발적리콜,
"BISSELLHomecare,Inc.",2023.0,자발적리콜,
오이쇼코리아유한회사,2023.0,자발적리콜,
지오다노,2022.0,자발적리콜,
지오다노,2022.0,명령에따른리콜,
영메디칼바이오,2022.0,명령에따른리콜,
영메디칼바이오,2019.0,명령에따른리콜,
영메디칼바이오,2015.0,명령에따른리콜,
우진의료기,2022.0,명령에따른리콜,
우진의료기,2020.0,명령에따른리콜,
우진의료기,2019.0,명령에따른리콜,
우진의료기,2019.0,명령에따른리콜,
우진의료기,2015.0,명령에따른리콜,
라이프웰,2022.0,명령에따른리콜,
에스디생명공학건강식품사업부문(홈스타의료기),2022.0,명령에따른리콜,
고은피플,2022.0,명령에따른리콜,
셀인스텍,2022.0,명령에따른리콜,
루앤원,2022.0,명령에따른리콜,
동영,2022.0,명령에따른리콜,
동영,2016.0,명령에따른리콜,
동영,2016.0,명령에따른리콜,
동영,2016.0,명령에따른리콜,
동영,2015.0,명령에따른리콜,
동영,2015.0,명령에따른리콜,
협성트레이드,2022.0,명령에따른리콜,
펄스일렉트로닉스,2022.0,명령에따른리콜,
신유일전자,2022.0,명령에따른리콜,
신유일전자,2021.0,명령에따른리콜,
신유일전자,2019.0,명령에따른리콜,
신유일전자,2018.0,명령에따른리콜,
신유일전자,2016.0,명령에따른리콜,
신유일전자,2015.0,명령에따른리콜,
신유일전자,2014.0,명령에따른리콜,
한일생명과학,2022.0,명령에따른리콜,
한일생명과학,2020.0,명령에따른리콜,
한일생명과학,2015.0,명령에따른리콜,
예스대현,2022.0,명령에따른리콜,
예스대현,2018.0,명령에따른리콜,
은교,2022.0,명령에따른리콜,
부강H&C,2022.0,명령에따른리콜,
국민유통,2022.0,명령에따른리콜,
가이온퍼니처,2022.0,명령에따른리콜,
가이온퍼니처,2022.0,명령에따른리콜,
가이온퍼니처,2020.0,명령에따른리콜,
그래,2022.0,명령에따른리콜,
썬파인,2022.0,명령에따른리콜,
MOTOMOA,2022.0,명령에따른리콜,
월드일렉콤,2022.0,명령에따른리콜,
