기업명,인증연도,리콜종류,품목
해락유한책임회사,2023,명령에따른리콜,망간 건전지(건전지)
세파스,2023,자발적리콜,자전거타이어
세기에이치이,2023,자발적리콜,앰프 내장형 스피커
하이얼전자판매,2023,자발적리콜,전기냉장*냉동기기(와인셀러)
피셔코리아,2023,자발적리콜,폴리우레탄 폼
미쉐린코리아,2023,자발적리콜,자동차 타이어
좋은제이이시,2023,명령에따른리콜,승차용 눈보호구(승차용 안전모)
헬퍼몰,2023,명령에따른리콜,킥보드(킥보드)
투월드(TWOWORLD),2023,명령에따른리콜,스케이트보드(스케이트보드)
위드코리아,2023,명령에따른리콜,휴대용 레이저용품(휴대용 레이저용품)
소나코리아,2023,명령에따른리콜,승차용 눈보호구(승차용 안전모)
디코커머스,2023,명령에따른리콜,휴대용 레이저용품(휴대용 레이저용품)
피플펫,2023,명령에따른리콜,휴대용 레이저용품(휴대용 레이저용품)
지오닉스 스포츠,2023,명령에따른리콜,산악용자전거(이륜자전거)
에잇리젠드,2023,명령에따른리콜,킥보드(킥보드)
리파코,2023,명령에따른리콜,가방류(유섬)(유아용 섬유제품)
뉴월드토이,2023,명령에따른리콜,공기주입 물놀이기구(어린이용 물놀이기구)
유경산업,2023,명령에따른리콜,공기주입 물놀이기구(어린이용 물놀이기구)
토탈매트,2023,명령에따른리콜,바닥매트(합성수지제 어린이용품)
대승아이앤피,2023,명령에따른리콜,바닥매트(합성수지제 어린이용품)
매트랜드,2023,명령에따른리콜,바닥매트(합성수지제 어린이용품)
우리STM,2023,명령에따른리콜,발사체 완구(완구)
라이카미,2023,명령에따른리콜,블록완구(완구)
엘스엘지티,2023,명령에따른리콜,퍼즐 완구(완구)
재미존,2023,명령에따른리콜,게임 완구(완구)
파이,2023,명령에따른리콜,기타완구(작동완구)(완구)
비바스포츠,2023,명령에따른리콜,B등급(어린이용 스케이트보드)
토도리브로,2023,명령에따른리콜,자석완구(완구)
매직큐브,2023,명령에따른리콜,블록완구(완구)
한국교육시스템,2023,명령에따른리콜,미술공예완구(완구)
학산문화사,2023,명령에따른리콜,퍼즐 완구(완구)
지오인포테크 이노베이션,2023,명령에따른리콜,어린이용 자전거(어린이용 자전거)
알톤스포츠,2023,명령에따른리콜,어린이용 자전거(어린이용 자전거)
삼천리자전거,2023,명령에따른리콜,어린이용 자전거(어린이용 자전거)
유아용품연구소,2023,명령에따른리콜,유아용 삼륜차(유아용 삼륜차)
이스터무역,2023,명령에따른리콜,기타완구(작동완구)(완구)
제이스타일코리아,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
이랜드리테일,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
엠케이(MK),2023,명령에따른리콜,프레임 없는 캐리어(유아용 캐리어)
더블엔 인터내셔널,2023,명령에따른리콜,필통(학용품)
베이비잼,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
루루슈,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
비지코퍼레이션,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
트리즈,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
아이즈컴퍼니,2023,명령에따른리콜,선글라스(어린이용 안경테 및 선글라스)
미리네스,2023,명령에따른리콜,선글라스(어린이용 안경테 및 선글라스)
아이즈컴퍼니,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
모아존,2023,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
보니하우스,2023,명령에따른리콜,어린이용 장신구(어린이용 장신구)
아이랜드,2023,명령에따른리콜,어린이용 장신구(어린이용 장신구)
비단길,2023,명령에따른리콜,어린이용 장신구(어린이용 장신구)
에스와이엠코퍼레이션,2023,명령에따른리콜,어린이용 장신구(어린이용 장신구)
윙하우스,2023,명령에따른리콜,우산(어린이용 우산 및 양산)
키즈스퀘어,2023,명령에따른리콜,선글라스(어린이용 안경테 및 선글라스)
제이스타일코리아,2023,명령에따른리콜,외의류(아섬)(아동용 섬유제품)
지오썬,2023,명령에따른리콜,가방류(아섬)(아동용 섬유제품)
트로프스,2023,명령에따른리콜,어린이용 인라인 롤러스케이트(어린이용 인라인 롤러스케이트)
킹카스포츠,2023,명령에따른리콜,수동식(어린이용 킥보드)
더그로우,2023,명령에따른리콜,어린이용 장신구(어린이용 장신구)
도현실업,2023,명령에따른리콜,가방류(아섬)(아동용 섬유제품)
크리스탈하우스,2023,명령에따른리콜,외의류(아섬)(아동용 섬유제품)
날씨요정,2023,명령에따른리콜,가방류(아섬)(아동용 섬유제품)
제이에스글로벌,2023,명령에따른리콜,가방류(아섬)(아동용 섬유제품)
로라랜드,2023,명령에따른리콜,모자류(아섬)(아동용 섬유제품)
리파코,2023,명령에따른리콜,기타어린이 제품(기타 어린이제품)
숀아이비엔엘,2023,명령에따른리콜,이안식(어린이용 물안경)
한일공업,2023,명령에따른리콜,가정용 소형변압기(변압기 및 전압조정기)
한진종합전기,2023,명령에따른리콜,가정용 소형변압기(변압기 및 전압조정기)
신성전기산업,2023,명령에따른리콜,케이블릴(전기설비용 부속품 및 연결부품)
INNO TECH (이노텍),2023,명령에따른리콜,"송풍기(팬, 레인지후드)"
